date,time,latitude,longitude,depth,magnitude,location
14/04/19,13:25:49,12.39,-86.53,12.6,1.8,Cerca del volcan Momotombo
14/04/19,13:09:45,12.40,-86.55,4.7,1.6,Cerca del volcan Momotombo
14/04/19,12:59:07,12.17,-86.33,7.8,1.3,En o cerca de Managua
14/04/19,12:18:15,12.39,-86.50,5.8,4.0,Cerca del volcan Momotombo
14/04/19,11:40:17,12.39,-86.52,4.8,1.9,Cerca del volcan Momotombo
14/04/19,11:33:35,14.34,-90.78,15.0,4.6,Guatemala
14/04/19,11:00:58,11.55,-88.99,15.0,3.8,Oceano Pacífico de Nicaragua
14/04/19,10:00:18,11.99,-88.00,15.0,2.5,Oceano Pacífico de Nicaragua
14/04/19,08:33:31,12.36,-86.48,5.8,2.4,Cerca del volcan Momotombo
14/04/19,08:18:02,12.37,-86.49,5.5,1.7,Cerca del volcan Momotombo
14/04/19,07:44:27,12.34,-86.48,0.7,3.9,Cerca del volcan Momotombo
14/04/19,07:36:11,8.39,-82.95,6.1,4.1,Sismo regional o lejano
14/04/19,06:53:04,12.41,-86.44,9.3,1.6,Cerca del volcan Momotombo
14/04/19,04:31:49,12.03,-87.86,20.1,3.8,Oceano Pacífico de Nicaragua
14/04/19,02:28:53,12.34,-86.54,4.1,1.1,Cerca del volcan Momotombo
14/04/19,02:23:03,12.37,-86.45,13.0,1.4,Cerca del volcan Momotombo
14/04/19,01:58:22,12.36,-86.53,7.9,1.3,Cerca del volcan Momotombo
14/04/19,01:06:32,12.30,-86.47,4.4,1.7,Cerca del volcan Apoyeque
14/04/19,00:59:07,12.38,-86.55,3.9,1.2,Cerca del volcan Momotombo
14/04/19,00:40:24,12.38,-86.53,4.8,1.4,Cerca del volcan Momotombo
14/04/19,00:11:59,12.40,-86.53,4.8,1.2,Cerca del volcan Momotombo
14/04/18,23:27:52,12.51,-87.79,67.7,4.8,Frente al Cosigüina
14/04/18,22:42:51,12.48,-87.84,61.2,3.4,Frente al Cosigüina
14/04/18,22:28:33,12.36,-86.48,7.8,1.9,Cerca del volcan Momotombo
14/04/18,21:03:00,12.40,-86.52,14.7,1.7,Cerca del volcan Momotombo
14/04/18,19:11:28,12.37,-86.56,12.9,1.1,Cerca del volcan Momotombo
14/04/18,17:36:50,12.35,-86.58,10.0,1.6,SO de La Paz Centro/Nagarote
14/04/18,15:31:23,12.38,-86.47,10.1,2.2,Cerca del volcan Momotombo
14/04/18,14:10:30,12.37,-86.52,7.1,1.3,Cerca del volcan Momotombo
14/04/18,13:59:57,12.60,-89.49,15.0,4.1,Frente a El Salvador
14/04/18,11:23:55,12.33,-86.62,43.3,2.2,SO de La Paz Centro/Nagarote
14/04/18,11:21:29,12.39,-86.48,6.3,3.0,Cerca del volcan Momotombo
14/04/18,10:51:37,12.33,-86.45,3.9,2.2,Cerca del volcan Apoyeque
14/04/18,09:17:14,12.35,-86.44,1.2,1.9,Cerca del volcan Momotombo
14/04/18,08:15:09,12.35,-86.45,12.7,2.3,Cerca del volcan Momotombo
14/04/18,08:09:20,12.24,-86.35,14.4,2.6,Cerca del volcan Apoyeque
14/04/18,06:32:51,12.31,-86.44,3.8,3.0,Cerca del volcan Apoyeque
14/04/18,06:26:45,12.33,-86.50,0.3,3.7,Cerca del volcan Momotombo
14/04/18,06:21:57,12.35,-86.45,4.4,4.4,Cerca del volcan Momotombo
14/04/18,06:05:17,12.36,-86.46,6.0,2.5,Cerca del volcan Momotombo
14/04/18,05:26:44,12.40,-86.56,4.5,1.4,Cerca del volcan Momotombo
14/04/18,02:28:29,12.08,-86.36,4.7,1.9,Oeste-Suroeste de Managua
14/04/18,00:27:59,12.13,-86.36,6.1,1.0,Oeste-Suroeste de Managua
14/04/18,00:26:23,12.16,-86.38,10.3,1.9,Oeste-Suroeste de Managua
14/04/17,23:52:53,12.38,-86.30,2.0,2.8,Nicaragua
